data set, time, x, y, pollution
1, 10:27:51, 779.78599, 531.400554, 11006.00
1, 10:27:52, 779.78599, 531.400554, 11018.20
1, 10:27:52, 780.78674, 533.958037, 11018.20
1, 10:27:53, 780.78674, 533.958037, 10979.60
1, 10:27:53, 782.67706, 536.515521, 10979.60
1, 10:27:54, 782.67706, 536.515521, 10969.80
1, 10:27:54, 785.34574, 538.628224, 10969.80
1, 10:27:55, 785.34574, 538.628224, 10958.20
1, 10:27:55, 788.79278, 540.296148, 10958.20
1, 10:27:56, 788.79278, 540.296148, 10949.20
1, 10:27:56, 792.57341, 541.296902, 10949.20
1, 10:27:57, 792.57341, 541.296902, 10940.20
1, 10:27:57, 796.68762, 541.741682, 10940.20
1, 10:27:58, 796.68762, 541.741682, 10934.20
1, 10:27:58, 801.02422, 541.741682, 10934.20
1, 10:27:59, 801.02422, 541.741682, 10872.80
1, 10:27:59, 805.24963, 541.519292, 10872.80
1, 10:28:00, 805.24963, 541.519292, 10827.80
1, 10:28:00, 809.47503, 541.296902, 10827.80
1, 10:28:01, 809.47503, 541.296902, 10769.30
1, 10:28:01, 813.70044, 541.185707, 10769.30
1, 10:28:02, 813.70044, 541.185707, 10703.00
1, 10:28:02, 817.92585, 541.296902, 10703.00
1, 10:28:03, 817.92585, 541.296902, 10653.10
1, 10:28:03, 822.04006, 541.408097, 10653.10
1, 10:28:04, 822.04006, 541.408097, 10629.70
1, 10:28:04, 825.93188, 541.296902, 10629.70
1, 10:28:05, 825.93188, 541.296902, 10598.60
1, 10:28:05, 829.49012, 541.296902, 10598.60
1, 10:28:06, 829.49012, 541.296902, 10581.30
1, 10:28:06, 832.71477, 541.296902, 10581.30
1, 10:28:07, 832.71477, 541.296902, 10573.50
1, 10:28:07, 835.49465, 541.296902, 10573.50
1, 10:28:08, 835.49465, 541.296902, 10572.70
1, 10:28:08, 837.60735, 541.408097, 10572.70
1, 10:28:09, 837.60735, 541.408097, 10581.90
1, 10:28:09, 839.05289, 541.408097, 10581.90
1, 10:28:10, 839.05289, 541.408097, 10604.10
1, 10:28:10, 840.16483, 541.519292, 10604.10
1, 10:28:11, 840.16483, 541.519292, 10647.50
1, 10:28:11, 841.61037, 541.630487, 10647.50
1, 10:28:12, 841.61037, 541.630487, 10723.90
1, 10:28:12, 843.38949, 542.408852, 10723.90
1, 10:28:13, 843.38949, 542.408852, 10813.40
1, 10:28:13, 845.27980, 543.854386, 10813.40
1, 10:28:14, 845.27980, 543.854386, 10922.60
1, 10:28:14, 846.72534, 546.189479, 10922.60
1, 10:28:15, 846.72534, 546.189479, 11062.80
1, 10:28:15, 847.39250, 549.080547, 11062.80
1, 10:28:16, 847.39250, 549.080547, 11201.50
1, 10:28:16, 847.39250, 551.971615, 11201.50
1, 10:28:17, 847.39250, 551.971615, 11323.10
1, 10:28:17, 847.17011, 554.862683, 11323.10
1, 10:28:18, 847.17011, 554.862683, 11420.30
1, 10:28:18, 846.72533, 557.864946, 11420.30
1, 10:28:19, 846.72533, 557.864946, 11469.40
1, 10:28:19, 846.28056, 560.978404, 11469.40
1, 10:28:20, 846.28056, 560.978404, 11479.40
1, 10:28:20, 845.94697, 564.647837, 11479.40
1, 10:28:21, 845.94697, 564.647837, 11470.10
1, 10:28:21, 845.72458, 568.650854, 11470.10
1, 10:28:22, 845.72458, 568.650854, 11445.40
1, 10:28:22, 845.72458, 573.098651, 11445.40
1, 10:28:23, 845.72458, 573.098651, 11428.60
1, 10:28:23, 845.50219, 577.657643, 11428.60
1, 10:28:24, 845.50219, 577.657643, 11418.30
1, 10:28:24, 845.39100, 82.3278308, 11418.30
1, 10:28:25, 845.39100, 82.3278308, 11368.30
1, 10:28:25, 845.27980, 586.886822, 11368.30
1, 10:28:26, 845.27980, 586.886822, 11299.00
1, 10:28:26, 845.27980, 591.668204, 11299.00
1, 10:28:27, 845.27980, 591.668204, 11229.00
1, 10:28:27, 845.16861, 96.5607814, 11229.00
1, 10:28:28, 845.16861, 96.5607814, 11136.80
1, 10:28:28, 845.05741, 601.342163, 11136.80
1, 10:28:29, 845.05741, 601.342163, 11045.70
1, 10:28:29, 844.94622, 06.1235451, 11045.70
1, 10:28:30, 844.94622, 06.1235451, 10998.00
1, 10:28:30, 844.83502, 610.682537, 10998.00
1, 10:28:31, 844.83502, 610.682537, 10962.00
1, 10:28:31, 844.94622, 615.019139, 10962.00
1, 10:28:32, 844.94622, 615.019139, 10915.30
1, 10:28:32, 844.83502, 618.910961, 10915.30
1, 10:28:33, 844.83502, 618.910961, 10897.70
1, 10:28:33, 845.16861, 622.580394, 10897.70
1, 10:28:34, 845.16861, 622.580394, 10911.80
1, 10:28:34, 845.83578, 625.805047, 10911.80
1, 10:28:35, 845.83578, 625.805047, 10945.40
1, 10:28:35, 846.50294, 629.029700, 10945.40
1, 10:28:36, 846.50294, 629.029700, 10987.60
1, 10:28:36, 846.94772, 631.809573, 10987.60
1, 10:28:37, 846.94772, 631.809573, 11039.40
1, 10:28:37, 847.28131, 34.1446666, 11039.40
1, 10:28:38, 847.28131, 34.1446666, 11103.70
1, 10:28:38, 847.61489, 636.146175, 11103.70
1, 10:28:39, 847.61489, 636.146175, 11159.00
1, 10:28:39, 848.17087, 637.814099, 11159.00
1, 10:28:40, 848.17087, 637.814099, 11183.40
1, 10:28:40, 849.06043, 639.148438, 11183.40
1, 10:28:41, 849.06043, 639.148438, 11193.70
1, 10:28:41, 850.28357, 0.26038761, 11193.70
1, 10:28:42, 850.28357, 0.26038761, 11173.70
1, 10:28:42, 852.17389, 640.927557, 11173.70
1, 10:28:43, 852.17389, 640.927557, 11096.20
1, 10:28:43, 854.73137, 641.261141, 11096.20
1, 10:28:44, 854.73137, 641.261141, 10999.70
1, 10:28:44, 857.95602, 641.483531, 10999.70
1, 10:28:45, 857.95602, 641.483531, 10914.00
1, 10:28:45, 861.73665, 641.594726, 10914.00
1, 10:28:46, 861.73665, 641.594726, 10831.70
1, 10:28:46, 866.18445, 41.5947267, 10831.70
1, 10:28:47, 866.18445, 41.5947267, 10787.20
1, 10:28:47, 870.85463, 641.483531, 10787.20
1, 10:28:48, 870.85463, 641.483531, 10790.60
1, 10:28:48, 875.85841, 641.483531, 10790.60
1, 10:28:49, 875.85841, 641.483531, 10821.60
1, 10:28:49, 880.75098, 641.483531, 10821.60
1, 10:28:50, 880.75098, 641.483531, 10852.20
1, 10:28:50, 885.53236, 641.594726, 10852.20
1, 10:28:51, 885.53236, 641.594726, 10872.00
1, 10:28:51, 890.09136, 641.705921, 10872.00
1, 10:28:52, 890.09136, 641.705921, 10890.40
1, 10:28:52, 894.31676, 41.7059216, 10890.40
1, 10:28:53, 894.31676, 41.7059216, 10919.60
1, 10:28:53, 897.98620, 641.705921, 10919.60
1, 10:28:54, 897.98620, 641.705921, 10950.30
1, 10:28:54, 900.98846, 641.817116, 10950.30
1, 10:28:55, 900.98846, 641.817116, 10989.70
1, 10:28:55, 903.21236, 641.817116, 10989.70
1, 10:28:56, 903.21236, 641.817116, 11079.00
1, 10:28:56, 904.65789, 641.928311, 11079.00
1, 10:28:57, 904.65789, 641.928311, 11199.80
1, 10:28:57, 905.32506, 641.928311, 11199.80
1, 10:28:58, 905.32506, 641.928311, 11325.40
1, 10:28:58, 905.76984, 641.928311, 11325.40
1, 10:28:59, 905.76984, 641.928311, 11464.50
1, 10:28:59, 906.77059, 642.039506, 11464.50
1, 10:29:00, 906.77059, 642.039506, 11661.30
1, 10:29:00, 908.32732, 641.928311, 11661.30
1, 10:29:01, 908.32732, 641.928311, 12018.20
1, 10:29:01, 910.55122, 641.817116, 12018.20
1, 10:29:02, 910.55122, 641.817116, 12720.90
1, 10:29:02, 913.44229, 641.594726, 12720.90
1, 10:29:03, 913.44229, 641.594726, 13848.30
1, 10:29:03, 916.77814, 41.3723368, 13848.30
1, 10:29:04, 916.77814, 41.3723368, 15218.40
1, 10:29:04, 920.78116, 641.261141, 15218.40
1, 10:29:05, 920.78116, 641.261141, 16489.80
1, 10:29:05, 925.11776, 641.261141, 16489.80
1, 10:29:06, 925.11776, 641.261141, 17309.30
